nb_processes;mb_per_process;read_time;write_time;overall_time;max_bandwidth
7;8;0.10223;0.83193;0.93416;59.9
8;8;0.09487;0.79253;0.88740;72.1
1;9;0.00691;0.00654;0.01345;669.2
2;9;0.08212;0.06079;0.14291;126.0
3;9;0.10761;0.27744;0.38505;70.1
4;9;0.11602;0.26959;0.38562;93.4
5;9;0.13557;0.59520;0.73076;61.6
6;9;0.10158;0.63936;0.74094;72.9
7;9;0.10960;0.80696;0.91656;68.7
8;9;0.07169;0.88453;0.95622;75.3
1;10;0.02118;0.00713;0.02831;353.3
2;10;0.07156;0.06935;0.14091;141.9
3;10;0.07512;0.27645;0.35156;85.3
4;10;0.13663;0.34512;0.48175;83.0
5;10;0.16899;0.65438;0.82337;60.7
6;10;0.12113;0.61305;0.73418;81.7
7;10;0.08591;0.77902;0.86493;80.9
8;10;0.13986;1.29671;1.43657;55.7
1;11;0.03509;0.00840;0.04349;253.0
2;11;0.07147;0.10739;0.17886;123.0
3;11;0.07523;0.28144;0.35666;92.5
4;11;0.09805;0.42519;0.52323;84.1
5;11;0.09101;0.71068;0.80170;68.6
6;11;0.12667;0.73216;0.85883;76.8
7;11;0.09747;1.49084;1.58831;48.5
8;11;0.11509;1.24087;1.35596;64.9
1;12;0.04682;0.00951;0.05633;213.0
2;12;0.07691;0.14039;0.21730;110.4
3;12;0.11829;0.35009;0.46838;76.9
4;12;0.09949;0.46030;0.55979;85.7
5;12;0.07777;0.76388;0.84165;71.3
6;12;0.07366;0.83854;0.91220;78.9
7;12;0.23140;1.09697;1.32837;63.2
8;12;0.07415;1.56559;1.63974;58.5
1;13;0.10841;0.00991;0.11831;109.9
2;13;0.13480;0.30117;0.43597;59.6
3;13;0.12547;0.73219;0.85766;45.5
4;13;0.08164;0.83377;0.91542;56.8
5;13;0.19033;1.17048;1.36081;47.8
6;13;0.09238;1.21005;1.30244;59.9
7;13;0.12349;1.48311;1.60660;56.6
8;13;0.10694;1.42675;1.53369;67.8
1;14;0.14615;0.01240;0.15855;88.3
2;14;0.07309;0.29468;0.36777;76.1
3;14;0.07989;0.86482;0.94471;44.5
4;14;0.13086;1.14217;1.27303;44.0
5;14;0.08285;0.92000;1.00285;69.8
6;14;0.14219;1.14988;1.29208;65.0
7;14;0.12321;1.54715;1.67036;58.7
8;14;0.07598;1.58693;1.66291;67.4
1;15;0.07689;0.01094;0.08783;170.8
2;15;0.10597;0.19088;0.29686;101.1
3;15;0.07177;0.42713;0.49890;90.2
4;15;0.08637;0.70841;0.79478;75.5
5;15;0.07314;0.78502;0.85816;87.4
6;15;0.07445;0.96756;1.04202;86.4
7;15;0.12800;1.33883;1.46683;71.6
8;15;0.19527;1.72246;1.91773;62.6
1;16;0.11998;0.06934;0.18932;84.5
2;16;0.09163;0.32832;0.41994;76.2
3;16;0.11535;0.71308;0.82843;57.9
4;16;0.11505;1.23209;1.34714;47.5
5;16;0.13630;1.69758;1.83389;43.6
6;16;0.10826;2.25996;2.36822;40.5
7;16;0.19470;2.58587;2.78057;40.3
8;16;0.07204;2.77512;2.84716;45.0
1;1;0.00024;0.00108;0.00133;754.5
2;1;0.00090;0.00199;0.00289;693.0
3;1;0.00074;0.00222;0.00296;1014.4
4;1;0.00112;0.00284;0.00396;1009.3
5;1;0.00112;0.00348;0.00460;1086.1
6;1;0.00125;0.00425;0.00550;1091.8
7;1;0.00305;0.00629;0.00935;749.0
8;1;0.00211;0.00628;0.00839;953.5
1;2;0.00050;0.00147;0.00197;1017.3
